id	name	gene_name	uniprot_id	conditions	indication_types	concentration	age	sex	biofluid	protein_sequence	citation
14	Interleukin-2 receptor subunit alpha	IL2RA	P01589	Normal	Diagnostic	1246 (369-2123) U/mL	Adult: >=18 yrs old	Both	Serum	Miyoshi, S., Hamada, H., Kadowaki, T., Hamaguchi, N., Ito, R., Irifune, K. & Higaki, J. Comparative evaluation of serum markers in pulmonary sarcoidosis. Chest 137, 1391-1397 (2010).
14	Interleukin-2 receptor subunit alpha	IL2RA	P01589	Pulmonary Sarcoidosis	Prognostic	>1195 U/mL	Adult: >=18 yrs old	Both	Serum	Miyoshi, S., Hamada, H., Kadowaki, T., Hamaguchi, N., Ito, R., Irifune, K. & Higaki, J. Comparative evaluation of serum markers in pulmonary sarcoidosis. Chest 137, 1391-1397 (2010).
15	Mucin-1	MUC1	P15941	Breast Cancer	Diagnostic	>27.255 U/mL	Adult: >=18 yrs old	Female	Serum	Lawicki, S., Bedkowska, G. E. & Szmitkowski, M. VEGF, M-CSF and CA 15-3 as a new tumor marker panel in breast malignancies: a multivariate analysis with ROC curve. Growth Factors 31, 98-105 (2013).
15	Mucin-1	MUC1	P15941	Ovarian Cancer	Diagnostic	> 11 U/mL U/mL	Adult: >=18 yrs old	Female	Blood	Chernecky, Cynthia C, and Barbara J Berger. Laboratory Tests and Diagnostic Procedures. 6th ed. St. Louis, Mo.: Elsevier/Saunders, 2013.
15	Mucin-1	MUC1	P15941	Normal	Diagnostic	< 11 U/mL U/mL	Adult: >=18 yrs old	Female	Blood	Chernecky, Cynthia C, and Barbara J Berger. Laboratory Tests and Diagnostic Procedures. 6th ed. St. Louis, Mo.: Elsevier/Saunders, 2013.
15	Mucin-1	MUC1	P15941	Normal	Diagnostic	16.5 (7-32) U/mL	Adult: >=18 yrs old	Female	Serum	Lawicki, S., Bedkowska, G. E. & Szmitkowski, M. VEGF, M-CSF and CA 15-3 as a new tumor marker panel in breast malignancies: a multivariate analysis with ROC curve. Growth Factors 31, 98-105 (2013).
16	Lysozyme C	LYZ	P61626	Normal	Diagnostic	10.75 (4.2-17.3) ug/mL	Adult: >=18 yrs old	Both	Serum	Miyoshi, S., Hamada, H., Kadowaki, T., Hamaguchi, N., Ito, R., Irifune, K. & Higaki, J. Comparative evaluation of serum markers in pulmonary sarcoidosis. Chest 137, 1391-1397 (2010).
16	Lysozyme C	LYZ	P61626	Pulmonary Sarcoidosis	Prognostic	>11.25 ug/mL	Adult: >=18 yrs old	Both	Serum	Miyoshi, S., Hamada, H., Kadowaki, T., Hamaguchi, N., Ito, R., Irifune, K. & Higaki, J. Comparative evaluation of serum markers in pulmonary sarcoidosis. Chest 137, 1391-1397 (2010).
19	Aspartate Transaminase	GOT1	P17174	Diabetes Mellitus	Diagnostic	>22 U/L	Adult: >=18 yrs old	Male	Serum	Kashima, S., Inoue, K., Matsumoto, M. & Akimoto, K. Do non-glycaemic markers add value to plasma glucose and hemoglobin a1c in predicting diabetes? Yuport health checkup center study. PLoS One 8, e66899 (2013).
19	Aspartate Transaminase	GOT1	P17174	Diabetes Mellitus	Diagnostic	>19 U/L	Adult: >=18 yrs old	Female	Serum	Kashima, S., Inoue, K., Matsumoto, M. & Akimoto, K. Do non-glycaemic markers add value to plasma glucose and hemoglobin a1c in predicting diabetes? Yuport health checkup center study. PLoS One 8, e66899 (2013).
