id	name	hmdb_id	conditions	indication_types	concentration	age	sex	biofluid	citation
87	Glyceric acid	HMDB0000139	Glycolic Aciduria	Diagnostic	205.0 (205.0-292.1) umol/mmol creatinine	Children	Both	Urine	Primary Hyperoxaluria Type 1. 2002 Jun 19 [Updated 2014 Jul 17]. In: Adam MP, Ardinger HH, Pagon RA, et al., editors. GeneReviews® [Internet]. Seattle (WA): University of Washington, Seattle; 1993-2017. Available from:
87	Glyceric acid	HMDB0000139	Normal	Diagnostic	100.0 (12.8-187.1) umol/mmol creatinine	Children	Both	Urine	Dietzen, D. J., Wilhite, T. R., Kenagy, D. N., Milliner, D. S., Smith, C. H. & Landt, M. Extraction of glyceric and glycolic acids from urine with tetrahydrofuran: utility in detection of primary hyperoxaluria. Clin Chem 43, 1315-1320 (1997).
87	Glyceric acid	HMDB0000139	Glutaric Acidemia Type 2	Diagnostic	430.6 (397.6-463.6) umol/mmol creatinine	Children	Male	Urine	Pubmed_ID: 8311084
87	Glyceric acid	HMDB0000139	Normal	Diagnostic	56.5 (23.4-89.5) umol/mmol creatinine	Children	Male	Urine	Pubmed_ID: 8311084
87	Glyceric acid	HMDB0000139	Primary hyperoxaluria Type I	Diagnostic	2.4e+03 (1.2-1.4e+03) umol/mmol creatinine	Adult: >=18 yrs old	Both	Urine	Dietzen, D. J., Wilhite, T. R., Kenagy, D. N., Milliner, D. S., Smith, C. H. & Landt, M. Extraction of glyceric and glycolic acids from urine with tetrahydrofuran: utility in detection of primary hyperoxaluria. Clin Chem 43, 1315-1320 (1997).
87	Glyceric acid	HMDB0000139	Normal	Diagnostic	14.4 (7.8-28.8) umol/mmol creatinine	Adult: >=18 yrs old	Both	Urine	Pubmed_ID: 24023812
87	Glyceric acid	HMDB0000139	Normal	Diagnostic	75 mg/g creatinine	Infant: >31 days	Both	Urine	Mayo Clinic Test Catalog
87	Glyceric acid	HMDB0000139	Normal	Diagnostic	125 mg/g creatinine	Infant/Children: 32 days-4 yrs old	Both	Urine	Mayo Clinic Test Catalog
87	Glyceric acid	HMDB0000139	Normal	Diagnostic	55 mg/g creatinine	Children: 5-10 yrs old	Both	Urine	Mayo Clinic Test Catalog
87	Glyceric acid	HMDB0000139	Normal	Diagnostic	25 mg/g creatinine	Children/Adult: >11 yrs old	Both	Urine	Mayo Clinic Test Catalog
87	Glyceric acid	HMDB0000139	Hyperoxaluria	Diagnostic	75 mg/g creatinine	Infant: =31 days	Both	urine	Mayo Clinic Test Catalog
87	Glyceric acid	HMDB0000139	Hyperoxaluria	Diagnostic	125 mg/g creatinine	Infant/Children: 32 days - 4 yrs old	Both	urine	Mayo Clinic Test Catalog
87	Glyceric acid	HMDB0000139	Hyperoxaluria	Diagnostic	55 mg/g creatinine	Children:5 - 10 yrs old	Both	urine	Mayo Clinic Test Catalog
